NpcID	MapID	PosX	PosY	ScriptFile	NpcName	Level	IsLoad
159	158	53505	90083	\script\Î÷ÄÏÄÏÇø\´äÑÌÃÅ\½ûµØÃÔ¹¬\npc\Õ½¶·_cyl60_²Ý¿Ü.lua	Th¶o KhÊu Gi¸p	60	0
155	158	52928	90720		H¾c C©n	60	1
159	158	53166	90977		Phi Liªm 	60	1
155	158	52911	91034		H¾c C©n	60	1
155	158	53864	90199		H¾c C©n	60	1
155	158	54007	90473		H¾c C©n	60	1
167	158	53792	90436		Th­¬ng th­êng	60	1
155	158	54560	90880		H¾c C©n	60	1
167	158	52096	91552		Th­¬ng th­êng	60	1
155	158	52576	92128		H¾c C©n	60	1
159	158	52704	92032		Phi Liªm 	60	1
167	158	52478	91868		Th­¬ng th­êng	60	1
159	158	52268	91816		Phi Liªm 	60	1
159	158	52409	91913		Phi Liªm 	60	1
155	158	53095	91208		H¾c C©n	60	1
159	158	53216	91432		Phi Liªm 	60	1
155	158	53440	91680		H¾c C©n	60	1
155	158	53344	91936		H¾c C©n	60	1
159	158	54080	92096		Phi Liªm 	60	1
167	158	53984	91232		Th­¬ng th­êng	60	1
155	158	53952	92054		H¾c C©n	60	1
167	158	53951	91514		Th­¬ng th­êng	60	1
167	158	54720	91360		Th­¬ng th­êng	60	1
159	158	55104	91616		Phi Liªm 	60	1
155	158	54816	91168		H¾c C©n	60	1
159	158	54944	91424		Phi Liªm 	60	1
155	158	55296	91680		H¾c C©n	60	1
159	158	55488	91968		Phi Liªm 	60	1
159	158	51168	92288		Phi Liªm 	60	1
159	158	51488	92160		Phi Liªm 	60	1
159	158	51648	92544		Phi Liªm 	60	1
155	158	51320	92436		H¾c C©n	60	1
155	158	51461	92586		H¾c C©n	60	1
159	158	51573	92718		Phi Liªm 	60	1
159	158	51840	92640		Phi Liªm 	60	1
167	158	52064	92736		Th­¬ng th­êng	60	1
155	158	52384	92960		H¾c C©n	60	1
159	158	52992	92224		Phi Liªm 	60	1
159	158	52736	92416		Phi Liªm 	60	1
159	158	53184	92160		Phi Liªm 	60	1
159	158	53152	92654		Phi Liªm 	60	1
159	158	52739	92884		Phi Liªm 	60	1
159	158	53408	92960		Phi Liªm 	60	1
159	158	53408	92416		Phi Liªm 	60	1
159	158	53376	92768		Phi Liªm 	60	1
159	158	54208	92288		Phi Liªm 	60	1
159	158	54069	92268		Phi Liªm 	60	1
167	158	54688	92576		Th­¬ng th­êng	60	1
155	158	54560	92416		H¾c C©n	60	1
159	158	54750	92911		Phi Liªm 	60	1
167	158	54363	92576		Th­¬ng th­êng	60	1
167	158	54944	92960		Th­¬ng th­êng	60	1
155	158	55045	93130		H¾c C©n	60	1
159	158	51072	94048		Phi Liªm 	60	1
167	158	51200	93760		Th­¬ng th­êng	60	1
159	158	51392	93920		Phi Liªm 	60	1
167	158	51584	93984		Th­¬ng th­êng	60	1
155	158	51424	93696		H¾c C©n	60	1
159	158	52064	93248		Phi Liªm 	60	1
167	158	51872	94144		Th­¬ng th­êng	60	1
155	158	52169	93354		H¾c C©n	60	1
155	158	52672	93472		H¾c C©n	60	1
155	158	52576	93376		H¾c C©n	60	1
155	158	52307	93476		H¾c C©n	60	1
167	158	52449	93652		Th­¬ng th­êng	60	1
159	158	52640	93845		Phi Liªm 	60	1
155	158	52928	93728		H¾c C©n	60	1
155	158	52864	94048		H¾c C©n	60	1
155	158	53632	93344		H¾c C©n	60	1
167	158	53248	93952		Th­¬ng th­êng	60	1
159	158	53792	93216		Phi Liªm 	60	1
167	158	53856	93344		Th­¬ng th­êng	60	1
167	158	55488	93472		Th­¬ng th­êng	60	1
155	158	55635	94179		H¾c C©n	60	1
155	158	55442	94083		H¾c C©n	60	1
155	158	55331	93271		H¾c C©n	60	1
159	158	55936	94016		Phi Liªm 	60	1
159	158	49952	95136		Phi Liªm 	60	1
159	158	50154	95201		Phi Liªm 	60	1
159	158	50592	94432		Phi Liªm 	60	1
167	158	50304	94656		Th­¬ng th­êng	60	1
155	158	50676	94509		H¾c C©n	60	1
155	158	50976	94368		H¾c C©n	60	1
159	158	51459	94339		Phi Liªm 	60	1
159	158	52032	94528		Phi Liªm 	60	1
155	158	51968	94400		H¾c C©n	60	1
155	158	51840	94816		H¾c C©n	60	1
167	158	52704	94976		Th­¬ng th­êng	60	1
155	158	52448	94848		H¾c C©n	60	1
155	158	52349	95230		H¾c C©n	60	1
159	158	52736	95200		Phi Liªm 	60	1
159	158	53161	94344		Phi Liªm 	60	1
155	158	53600	94400		H¾c C©n	60	1
155	158	53248	95168		H¾c C©n	60	1
159	158	53536	94848		Phi Liªm 	60	1
159	158	53331	94504		Phi Liªm 	60	1
155	158	53413	94670		H¾c C©n	60	1
159	158	53758	95229		Phi Liªm 	60	1
155	158	54208	94976		H¾c C©n	60	1
159	158	53952	95040		Phi Liªm 	60	1
155	158	53884	95116		H¾c C©n	60	1
155	158	55264	94752		H¾c C©n	60	1
159	158	55008	94528		Phi Liªm 	60	1
159	158	55294	94261		Phi Liªm 	60	1
159	158	55040	94705		Phi Liªm 	60	1
159	158	55392	95168		Phi Liªm 	60	1
155	158	49568	95456		H¾c C©n	60	1
167	158	49952	95968		Th­¬ng th­êng	60	1
159	158	50080	96064		Phi Liªm 	60	1
155	158	49920	95520		H¾c C©n	60	1
155	158	49824	95232		H¾c C©n	60	1
155	158	49724	95877		H¾c C©n	60	1
159	158	50099	96252		Phi Liªm 	60	1
155	158	50240	96096		H¾c C©n	60	1
159	158	50976	95744		Phi Liªm 	60	1
155	158	51584	96160		H¾c C©n	60	1
155	158	52675	95536		H¾c C©n	60	1
167	158	52841	95702		Th­¬ng th­êng	60	1
155	158	53568	95520		H¾c C©n	60	1
167	158	53656	95340		Th­¬ng th­êng	60	1
155	158	54496	95776		H¾c C©n	60	1
159	158	54496	96064		Phi Liªm 	60	1
167	158	55520	95488		Th­¬ng th­êng	60	1
159	158	55456	95744		Phi Liªm 	60	1
167	158	55360	96096		Th­¬ng th­êng	60	1
155	158	55688	95644		H¾c C©n	60	1
155	158	56192	95776		H¾c C©n	60	1
155	158	55895	95751		H¾c C©n	60	1
155	158	55897	95518		H¾c C©n	60	1
167	158	56002	95747		Th­¬ng th­êng	60	1
155	158	56480	96160		H¾c C©n	60	1
159	158	49494	97261		Phi Liªm 	60	1
159	158	49553	97124		Phi Liªm 	60	1
159	158	50144	96416		Phi Liªm 	60	1
159	158	50592	96544		Phi Liªm 	60	1
159	158	51008	97216		Phi Liªm 	60	1
159	158	51168	97248		Phi Liªm 	60	1
155	158	51136	97088		H¾c C©n	60	1
159	158	51424	96320		Phi Liªm 	60	1
167	158	51616	97056		Th­¬ng th­êng	60	1
159	158	51552	96416		Phi Liªm 	60	1
155	158	51776	96448		H¾c C©n	60	1
155	158	51968	97088		H¾c C©n	60	1
155	158	52160	96992		H¾c C©n	60	1
155	158	51712	96896		H¾c C©n	60	1
159	158	52544	97248		Phi Liªm 	60	1
155	158	53600	96416		H¾c C©n	60	1
159	158	53760	96768		Phi Liªm 	60	1
167	158	53856	96928		Th­¬ng th­êng	60	1
159	158	53856	96448		Phi Liªm 	60	1
159	158	54080	96800		Phi Liªm 	60	1
159	158	54208	96928		Phi Liªm 	60	1
155	158	54400	97216		H¾c C©n	60	1
155	158	54976	96864		H¾c C©n	60	1
159	158	55136	96800		Phi Liªm 	60	1
159	158	54848	96416		Phi Liªm 	60	1
155	158	55202	97236		H¾c C©n	60	1
167	158	55456	96736		Th­¬ng th­êng	60	1
159	158	55333	97166		Phi Liªm 	60	1
159	158	55342	96560		Phi Liªm 	60	1
159	158	55904	97120		Phi Liªm 	60	1
159	158	55808	97024		Phi Liªm 	60	1
155	158	56768	96544		H¾c C©n	60	1
155	158	56576	96288		H¾c C©n	60	1
159	158	56496	96370		Phi Liªm 	60	1
159	158	56662	96557		Phi Liªm 	60	1
159	158	57152	96832		Phi Liªm 	60	1
167	158	56928	96640		Th­¬ng th­êng	60	1
155	158	57261	97172		H¾c C©n	60	1
155	158	57344	97120		H¾c C©n	60	1
159	158	49588	97367		Phi Liªm 	60	1
159	158	50048	97568		Phi Liªm 	60	1
159	158	49952	97472		Phi Liªm 	60	1
155	158	50008	97761		H¾c C©n	60	1
155	158	50208	97632		H¾c C©n	60	1
155	158	50272	98176		H¾c C©n	60	1
155	158	51040	98048		H¾c C©n	60	1
159	158	51058	97619		Phi Liªm 	60	1
155	158	51584	97536		H¾c C©n	60	1
155	158	51392	97280		H¾c C©n	60	1
155	158	51296	97824		H¾c C©n	60	1
159	158	51456	97760		Phi Liªm 	60	1
159	158	51624	97829		Phi Liªm 	60	1
155	158	51808	97856		H¾c C©n	60	1
155	158	51872	98016		H¾c C©n	60	1
167	158	51712	97280		Th­¬ng th­êng	60	1
159	158	52640	97504		Phi Liªm 	60	1
155	158	53613	97708		H¾c C©n	60	1
155	158	53574	97803		H¾c C©n	60	1
155	158	53650	97969		H¾c C©n	60	1
159	158	54144	98016		Phi Liªm 	60	1
155	158	53806	98116		H¾c C©n	60	1
155	158	54528	97344		H¾c C©n	60	1
159	158	54368	98048		Phi Liªm 	60	1
159	158	54556	97853		Phi Liªm 	60	1
159	158	54772	97946		Phi Liªm 	60	1
167	158	55232	98112		Th­¬ng th­êng	60	1
159	158	54912	97824		Phi Liªm 	60	1
159	158	55107	97359		Phi Liªm 	60	1
167	158	55756	97339		Th­¬ng th­êng	60	1
159	158	56163	97757		Phi Liªm 	60	1
167	158	56295	97748		Th­¬ng th­êng	60	1
159	158	56352	97600		Phi Liªm 	60	1
155	158	57728	97312		H¾c C©n	60	1
155	158	57482	97316		H¾c C©n	60	1
172	158	58635	98085	\script\Î÷ÄÏÄÏÇø\´äÑÌÃÅ\½ûµØÃÔ¹¬\npc\Â·ÈË_cyl60_ÎÞÃûÀÏÕß.lua	V« Danh L·o gi¶ 	60	0
159	158	48074	99054	\script\Î÷ÄÏÄÏÇø\´äÑÌÃÅ\½ûµØÃÔ¹¬\npc\Õ½¶·_cyl60_²Ý¿Ü.lua	Th¶o KhÊu Gi¸p	60	0
167	158	48292	99247		Th­¬ng th­êng	60	1
