NpcID	MapID	PosX	PosY	ScriptFile	NpcName	Level	IsLoad
703	342	39232	77376		Cao ThÒ ßπi NÈi	95	1
704	342	39360	76928		Tinh Nhu÷ Trung L›nh	95	1
705	342	39456	77376		Thi’t ßao Hπ S¨n	95	1
706	342	39200	77632		Thi’t ThÒ Hµn S¨n	95	1
703	342	38848	77248		Cao ThÒ ßπi NÈi	95	1
704	342	38688	77696		Tinh Nhu÷ Trung L›nh	95	1
705	342	38624	78656		Thi’t ßao Hπ S¨n	95	1
706	342	38816	79072		Thi’t ThÒ Hµn S¨n	95	1
703	342	39520	78752		Cao ThÒ ßπi NÈi	95	1
704	342	39712	77984		Tinh Nhu÷ Trung L›nh	95	1
705	342	39744	77088		Thi’t ßao Hπ S¨n	95	1
706	342	39872	76576		Thi’t ThÒ Hµn S¨n	95	1
703	342	40128	76640		Cao ThÒ ßπi NÈi	95	1
704	342	40064	77280		Tinh Nhu÷ Trung L›nh	95	1
705	342	39808	77984		Thi’t ßao Hπ S¨n	95	1
706	342	39584	78816		Thi’t ThÒ Hµn S¨n	95	1
703	342	39616	79200		Cao ThÒ ßπi NÈi	95	1
704	342	40096	79200		Tinh Nhu÷ Trung L›nh	95	1
705	342	40352	78240		Thi’t ßao Hπ S¨n	95	1
706	342	40448	77184		Thi’t ThÒ Hµn S¨n	95	1
703	342	40704	76288		Cao ThÒ ßπi NÈi	95	1
704	342	41056	76224		Tinh Nhu÷ Trung L›nh	95	1
705	342	40896	77088		Thi’t ßao Hπ S¨n	95	1
706	342	40576	77472		Thi’t ThÒ Hµn S¨n	95	1
703	342	40512	78464		Cao ThÒ ßπi NÈi	95	1
704	342	40608	79424		Tinh Nhu÷ Trung L›nh	95	1
705	342	40832	79552		Thi’t ßao Hπ S¨n	95	1
706	342	41056	78752		Thi’t ThÒ Hµn S¨n	95	1
703	342	41056	77728		Cao ThÒ ßπi NÈi	95	1
704	342	41312	76928		Tinh Nhu÷ Trung L›nh	95	1
705	342	41792	76160		Thi’t ßao Hπ S¨n	95	1
706	342	41856	76416		Thi’t ThÒ Hµn S¨n	95	1
703	342	41824	77184		Cao ThÒ ßπi NÈi	95	1
704	342	41568	78208		Tinh Nhu÷ Trung L›nh	95	1
705	342	41312	79008		Thi’t ßao Hπ S¨n	95	1
706	342	41248	79552		Thi’t ThÒ Hµn S¨n	95	1
703	342	41536	79680		Cao ThÒ ßπi NÈi	95	1
704	342	41856	79264		Tinh Nhu÷ Trung L›nh	95	1
705	342	42144	78112		Thi’t ßao Hπ S¨n	95	1
706	342	42144	77280		Thi’t ThÒ Hµn S¨n	95	1
703	342	42144	76640		Cao ThÒ ßπi NÈi	95	1
704	342	42528	76576		Tinh Nhu÷ Trung L›nh	95	1
705	342	42528	77792		Thi’t ßao Hπ S¨n	95	1
706	342	42368	78656		Thi’t ThÒ Hµn S¨n	95	1
703	342	42304	79200		Cao ThÒ ßπi NÈi	95	1
704	342	42624	79200		Tinh Nhu÷ Trung L›nh	95	1
705	342	42976	78560		Thi’t ßao Hπ S¨n	95	1
706	342	43136	77728		Thi’t ThÒ Hµn S¨n	95	1
703	342	43360	77024		Cao ThÒ ßπi NÈi	95	1
704	342	43520	76928		Tinh Nhu÷ Trung L›nh	95	1
705	342	43264	78048		Thi’t ßao Hπ S¨n	95	1
706	342	42784	78496		Thi’t ThÒ Hµn S¨n	95	1
703	342	42336	78112		Cao ThÒ ßπi NÈi	95	1
704	342	42592	77792		Tinh Nhu÷ Trung L›nh	95	1
705	342	42656	79456		Thi’t ßao Hπ S¨n	95	1
706	342	42784	79936		Thi’t ThÒ Hµn S¨n	95	1
703	342	43424	79680		Cao ThÒ ßπi NÈi	95	1
704	342	43584	78560		Tinh Nhu÷ Trung L›nh	95	1
705	342	43488	77248		Thi’t ßao Hπ S¨n	95	1
706	342	43680	76576		Thi’t ThÒ Hµn S¨n	95	1
703	342	44224	76768		Cao ThÒ ßπi NÈi	95	1
704	342	43968	77952		Tinh Nhu÷ Trung L›nh	95	1
705	342	43744	78464		Thi’t ßao Hπ S¨n	95	1
706	342	43680	79168		Thi’t ThÒ Hµn S¨n	95	1
703	342	44096	79616		Cao ThÒ ßπi NÈi	95	1
704	342	44320	78944		Tinh Nhu÷ Trung L›nh	95	1
705	342	44320	77600		Thi’t ßao Hπ S¨n	95	1
706	342	44128	76576		Thi’t ThÒ Hµn S¨n	95	1
703	342	44256	75904		Cao ThÒ ßπi NÈi	95	1
704	342	44672	76224		Tinh Nhu÷ Trung L›nh	95	1
705	342	44768	77184		Thi’t ßao Hπ S¨n	95	1
706	342	44672	77600		Thi’t ThÒ Hµn S¨n	95	1
703	342	45024	77984		Cao ThÒ ßπi NÈi	95	1
704	342	45344	78208		Tinh Nhu÷ Trung L›nh	95	1
705	342	45024	78816		Thi’t ßao Hπ S¨n	95	1
706	342	44416	78560		Thi’t ThÒ Hµn S¨n	95	1
703	342	43904	78464		Cao ThÒ ßπi NÈi	95	1
704	342	44096	78048		Tinh Nhu÷ Trung L›nh	95	1
705	342	45120	77440		Thi’t ßao Hπ S¨n	95	1
706	342	45472	77248		Thi’t ThÒ Hµn S¨n	95	1
703	342	45248	77120		Cao ThÒ ßπi NÈi	95	1
704	342	45216	76672		Tinh Nhu÷ Trung L›nh	95	1
705	342	46112	76928		Thi’t ßao Hπ S¨n	95	1
706	342	45984	77280		Thi’t ThÒ Hµn S¨n	95	1
703	342	45248	77888		Cao ThÒ ßπi NÈi	95	1
704	342	44960	78112		Tinh Nhu÷ Trung L›nh	95	1
705	342	45152	78464		Thi’t ßao Hπ S¨n	95	1
706	342	45536	78464		Thi’t ThÒ Hµn S¨n	95	1
703	342	45344	78912		Cao ThÒ ßπi NÈi	95	1
704	342	44832	79072		Tinh Nhu÷ Trung L›nh	95	1
705	342	44512	79264		Thi’t ßao Hπ S¨n	95	1
706	342	45152	79264		Thi’t ThÒ Hµn S¨n	95	1
703	342	45888	79168		Cao ThÒ ßπi NÈi	95	1
704	342	46656	79168		Tinh Nhu÷ Trung L›nh	95	1
705	342	46784	78912		Thi’t ßao Hπ S¨n	95	1
706	342	46208	77888		Thi’t ThÒ Hµn S¨n	95	1
703	342	46208	77248		Cao ThÒ ßπi NÈi	95	1
704	342	46944	76864		Tinh Nhu÷ Trung L›nh	95	1
705	342	47552	76768		Thi’t ßao Hπ S¨n	95	1
706	342	47584	76224		Thi’t ThÒ Hµn S¨n	95	1
703	342	47712	75392		Cao ThÒ ßπi NÈi	95	1
704	342	48192	74912		Tinh Nhu÷ Trung L›nh	95	1
