ObjID	MapID	PosX	PosY	Dir	State	ScriptFile	IsLoad
3	1	49369	99472	0	0	\script\maps\obj\contains.lua	1
1	1	50282	99759	0	0	\script\maps\obj\1\西北南区-凤翔府-储物箱3.lua	1
1	1	53053	100976	0	0	\script\maps\obj\1\西北南区-凤翔府-储物箱5.lua	1
4	1	53223	100801	0	0	\script\missions\congthanh\notice.lua	1
3	1	50699	101561	1	0	\script\maps\obj\contains.lua	1
1	1	50949	101457	0	0	\script\maps\obj\1\西北南区-凤翔府-储物箱1.lua	1
1	1	49392	102951	0	0	\script\maps\obj\1\西北南区-凤翔府-储物箱4.lua	1
296	1	60531	102922	0	0	\script\maps\obj\contains.lua	1
3	1	49080	103962	1	0	\script\maps\obj\contains.lua	1
1	1	52246	104296	0	0	\script\maps\obj\1\西北南区-凤翔府-储物箱2.lua	1
3	1	48536	104557	0	0	\script\maps\obj\contains.lua	1
3	1	52761	105373	0	0	\script\maps\obj\contains.lua	1
295	1	39126	108021	0	0	\script\maps\obj\contains.lua	1
296	1	57509	114678	0	0	\script\maps\obj\contains.lua	1
