ObjID	MapID	PosX	PosY	Dir	State	ScriptFile	IsLoad
4	37	60126	93154	0	0	\script\missions\congthanh\notice.lua	1
1	37	59368	94554	0	0	\script\maps\obj\37\ãê¾©-´¢ÎïÏä1.lua	1
3	37	50907	95834	0	0	\script\missions\congthanh\notice.lua	1
3	37	60285	96007	0	0	\script\missions\congthanh\notice.lua	1
1	37	51558	96352	0	0	\script\maps\obj\37\ãê¾©-´¢ÎïÏä5.lua	1
7	37	52742	97120	1	0	\script\maps\obj\contains.lua	1
1	37	55154	98548	0	0	\script\maps\obj\37\ãê¾©-´¢ÎïÏä2.lua	1
7	37	56424	100495	1	0	\script\maps\obj\contains.lua	1
296	37	70605	100755	0	0	\script\maps\obj\contains.lua	1
3	37	55078	101762	0	0	\script\missions\congthanh\notice.lua	1
295	37	36311	103047	0	0	\script\maps\obj\contains.lua	1
1	37	54194	102578	0	0	\script\maps\obj\37\ãê¾©-´¢ÎïÏä4.lua	1
295	37	49682	118585	0	0	\script\maps\obj\contains.lua	1
295	37	62261	122449	0	0	\script\maps\obj\contains.lua	1
