ObjID	MapID	PosX	PosY	Dir	State	ScriptFile	IsLoad
1	162	50452	100235	1	0	\script\maps\obj\162\大理府储物箱1.lua	1
4	162	53753	100250	0	0	\script\missions\congthanh\notice.lua	1
273	162	46703	101180	0	0	\script\maps\obj\contains.lua	1
273	162	46648	100507	0	0	\script\maps\obj\contains.lua	1
273	162	46652	100689	0	0	\script\maps\obj\contains.lua	1
274	162	47566	100623	0	0	\script\maps\obj\contains.lua	1
274	162	47216	100654	0	0	\script\maps\obj\contains.lua	1
1	162	52049	100877	1	0	\script\maps\obj\162\大理府储物箱2.lua	1
294	162	40978	104149	0	0	\script\maps\obj\contains.lua	1
4	162	47469	104839	0	0	\script\missions\congthanh\notice.lua	1
3	162	54063	105205	0	0	\script\missions\congthanh\notice.lua	1
296	162	58953	107733	0	0	\script\maps\obj\contains.lua	1
295	162	54017	112169	0	0	\script\maps\obj\contains.lua	1
