ObjID	MapID	PosX	PosY	Dir	State	ScriptFile	IsLoad
297	78	48889	93396	0	0	\script\maps\obj\contains.lua	1
294	78	49806	93422	0	0	\script\maps\obj\contains.lua	1
285	78	45418	95475	0	0	\script\maps\obj\contains.lua	1
284	78	46896	95474	0	0	\script\maps\obj\contains.lua	1
297	78	52600	95956	0	0	\script\maps\obj\contains.lua	1
294	78	53144	96505	0	0	\script\maps\obj\contains.lua	1
285	78	43488	98863	0	0	\script\maps\obj\contains.lua	1
283	78	44872	98519	0	0	\script\maps\obj\contains.lua	1
297	78	56208	98998	0	0	\script\maps\obj\contains.lua	1
283	78	41938	100032	0	0	\script\maps\obj\contains.lua	1
284	78	44408	101211	0	0	\script\maps\obj\contains.lua	1
1	78	47419	101224	0	0	\script\maps\obj\78\ÏåÑô-´¢ÎïÏä4.lua	1
285	78	41893	101740	0	0	\script\maps\obj\contains.lua	1
3	78	46913	101758	0	0	\script\missions\congthanh\notice.lua	1
283	78	43598	102469	0	0	\script\maps\obj\contains.lua	1
1	78	50013	103004	0	0	\script\maps\obj\78\ÏåÑô-´¢ÎïÏä3.lua	1
3	78	51460	103013	0	0	\script\missions\congthanh\notice.lua	1
284	78	42574	104250	0	0	\script\maps\obj\contains.lua	1
1	78	53997	103503	0	0	\script\maps\obj\78\ÏåÑô-´¢ÎïÏä5.lua	1
4	78	54457	103699	0	0	\script\missions\congthanh\notice.lua	1
1	78	46408	104456	0	0	\script\maps\obj\78\ÏåÑô-´¢ÎïÏä1.lua	1
1	78	50430	106889	0	0	\script\maps\obj\78\ÏåÑô-´¢ÎïÏä2.lua	1
3	78	50756	108359	0	0	\script\missions\congthanh\notice.lua	1
296	78	57673	109095	0	0	\script\maps\obj\contains.lua	1
297	78	57300	110422	0	0	\script\maps\obj\contains.lua	1
