ObjID	MapID	PosX	PosY	Dir	State	ScriptFile	IsLoad
297	11	104804	147468	0	0	\script\maps\obj\contains.lua	1
283	11	96006	152457	0	0	\script\maps\obj\contains.lua	1
294	11	90549	153519	0	0	\script\maps\obj\contains.lua	1
283	11	94915	153457	0	0	\script\maps\obj\contains.lua	1
283	11	97238	153353	0	0	\script\maps\obj\contains.lua	1
283	11	96047	154249	0	0	\script\maps\obj\contains.lua	1
283	11	98704	153639	0	0	\script\maps\obj\contains.lua	1
283	11	96816	155304	0	0	\script\maps\obj\contains.lua	1
283	11	98929	155189	0	0	\script\maps\obj\contains.lua	1
4	11	96242	158621	0	0	\script\missions\congthanh\notice.lua	1
1	11	97728	159419	0	0	\script\maps\obj\11\西南北区-成都府-储物箱3.lua	1
1	11	103709	160803	0	0	\script\maps\obj\11\西南北区-成都府-储物箱2.lua	1
295	11	91413	162620	0	0	\script\maps\obj\contains.lua	1
3	11	101120	162556	0	0	\script\missions\congthanh\notice.lua	1
3	11	101227	162668	0	0	\script\missions\congthanh\notice.lua	1
1	11	101022	162451	0	0	\script\maps\obj\11\西南北区-成都府-储物箱1.lua	1
1	11	96025	163348	0	0	\script\maps\obj\11\西南北区-成都府-储物箱5.lua	1
6	11	96381	163618	0	0	\script\maps\obj\contains.lua	1
1	11	101914	165717	0	0	\script\maps\obj\11\西南北区-成都府-储物箱4.lua	1
3	11	102088	166413	0	0	\script\missions\congthanh\notice.lua	1
296	11	108786	168843	0	0	\script\maps\obj\contains.lua	1
295	11	86997	170033	0	0	\script\maps\obj\contains.lua	1
296	11	103227	173235	0	0	\script\maps\obj\contains.lua	1
