MapId	RegionId	CellX	CellY	ScriptFile	IsLoad
100	143	7	1	\script\maps\libtrap.lua	1
100	143	8	1	\script\maps\libtrap.lua	1
100	143	9	1	\script\maps\libtrap.lua	1
100	143	10	1	\script\maps\libtrap.lua	1
100	143	7	2	\script\maps\libtrap.lua	1
100	143	8	2	\script\maps\libtrap.lua	1
100	143	9	2	\script\maps\libtrap.lua	1
100	143	10	2	\script\maps\libtrap.lua	1
100	143	11	2	\script\maps\libtrap.lua	1
100	143	12	2	\script\maps\libtrap.lua	1
100	143	13	2	\script\maps\libtrap.lua	1
100	143	14	2	\script\maps\libtrap.lua	1
100	143	15	2	\script\maps\libtrap.lua	1
100	143	8	3	\script\maps\libtrap.lua	1
100	143	9	3	\script\maps\libtrap.lua	1
100	143	10	3	\script\maps\libtrap.lua	1
100	143	11	3	\script\maps\libtrap.lua	1
100	143	12	3	\script\maps\libtrap.lua	1
100	143	13	3	\script\maps\libtrap.lua	1
100	143	14	3	\script\maps\libtrap.lua	1
100	143	15	3	\script\maps\libtrap.lua	1
100	143	8	4	\script\maps\libtrap.lua	1
100	143	9	4	\script\maps\libtrap.lua	1
100	143	10	4	\script\maps\libtrap.lua	1
100	143	11	4	\script\maps\libtrap.lua	1
100	143	12	4	\script\maps\libtrap.lua	1
100	144	0	2	\script\maps\libtrap.lua	1
100	144	1	2	\script\maps\libtrap.lua	1
100	144	2	2	\script\maps\libtrap.lua	1
100	144	3	2	\script\maps\libtrap.lua	1
100	144	4	2	\script\maps\libtrap.lua	1
100	144	5	2	\script\maps\libtrap.lua	1
100	144	6	2	\script\maps\libtrap.lua	1
100	144	7	2	\script\maps\libtrap.lua	1
100	144	8	2	\script\maps\libtrap.lua	1
100	144	9	2	\script\maps\libtrap.lua	1
100	144	10	2	\script\maps\libtrap.lua	1
100	144	11	2	\script\maps\libtrap.lua	1
100	144	12	2	\script\maps\libtrap.lua	1
100	144	13	2	\script\maps\libtrap.lua	1
100	144	0	3	\script\maps\libtrap.lua	1
100	144	1	3	\script\maps\libtrap.lua	1
100	144	2	3	\script\maps\libtrap.lua	1
100	144	3	3	\script\maps\libtrap.lua	1
100	144	4	3	\script\maps\libtrap.lua	1
100	144	5	3	\script\maps\libtrap.lua	1
100	144	6	3	\script\maps\libtrap.lua	1
100	144	7	3	\script\maps\libtrap.lua	1
100	144	8	3	\script\maps\libtrap.lua	1
100	144	9	3	\script\maps\libtrap.lua	1
100	144	10	3	\script\maps\libtrap.lua	1
100	144	11	3	\script\maps\libtrap.lua	1
100	144	12	3	\script\maps\libtrap.lua	1
100	144	13	3	\script\maps\libtrap.lua	1
100	144	14	3	\script\maps\libtrap.lua	1
100	144	13	4	\script\maps\libtrap.lua	1
100	144	14	4	\script\maps\libtrap.lua	1
100	144	15	4	\script\maps\libtrap.lua	1
100	144	14	5	\script\maps\libtrap.lua	1
100	144	15	5	\script\maps\libtrap.lua	1
100	145	3	3	\script\maps\libtrap.lua	1
100	145	4	3	\script\maps\libtrap.lua	1
100	145	0	4	\script\maps\libtrap.lua	1
100	145	2	4	\script\maps\libtrap.lua	1
100	145	3	4	\script\maps\libtrap.lua	1
100	145	4	4	\script\maps\libtrap.lua	1
100	145	5	4	\script\maps\libtrap.lua	1
100	145	0	5	\script\maps\libtrap.lua	1
100	145	1	5	\script\maps\libtrap.lua	1
100	145	2	5	\script\maps\libtrap.lua	1
100	145	3	5	\script\maps\libtrap.lua	1
100	145	4	5	\script\maps\libtrap.lua	1
100	145	5	5	\script\maps\libtrap.lua	1
100	145	0	6	\script\maps\libtrap.lua	1
100	145	1	6	\script\maps\libtrap.lua	1
100	145	2	6	\script\maps\libtrap.lua	1
100	145	3	6	\script\maps\libtrap.lua	1
100	145	4	6	\script\maps\libtrap.lua	1
100	145	5	6	\script\maps\libtrap.lua	1
100	145	3	7	\script\maps\libtrap.lua	1
100	145	4	7	\script\maps\libtrap.lua	1
100	145	5	7	\script\maps\libtrap.lua	1
100	145	4	8	\script\maps\libtrap.lua	1
100	145	5	8	\script\maps\libtrap.lua	1
100	145	4	9	\script\maps\libtrap.lua	1
100	145	5	9	\script\maps\libtrap.lua	1
100	145	6	9	\script\maps\libtrap.lua	1
100	145	7	9	\script\maps\libtrap.lua	1
100	145	4	10	\script\maps\libtrap.lua	1
100	145	5	10	\script\maps\libtrap.lua	1
100	145	6	10	\script\maps\libtrap.lua	1
100	145	7	10	\script\maps\libtrap.lua	1
100	145	8	10	\script\maps\libtrap.lua	1
100	145	5	11	\script\maps\libtrap.lua	1
100	145	6	11	\script\maps\libtrap.lua	1
100	145	7	11	\script\maps\libtrap.lua	1
100	145	8	11	\script\maps\libtrap.lua	1
100	450	15	27	\script\maps\libtrap.lua	1
100	450	14	28	\script\maps\libtrap.lua	1
100	450	15	28	\script\maps\libtrap.lua	1
100	450	13	29	\script\maps\libtrap.lua	1
100	450	14	29	\script\maps\libtrap.lua	1
100	450	12	30	\script\maps\libtrap.lua	1
100	450	13	30	\script\maps\libtrap.lua	1
100	450	11	31	\script\maps\libtrap.lua	1
100	450	12	31	\script\maps\libtrap.lua	1
100	451	2	20	\script\maps\libtrap.lua	1
100	451	3	20	\script\maps\libtrap.lua	1
100	451	1	21	\script\maps\libtrap.lua	1
100	451	2	21	\script\maps\libtrap.lua	1
100	451	3	21	\script\maps\libtrap.lua	1
100	451	2	22	\script\maps\libtrap.lua	1
100	451	2	23	\script\maps\libtrap.lua	1
100	451	3	23	\script\maps\libtrap.lua	1
100	451	1	24	\script\maps\libtrap.lua	1
100	451	2	24	\script\maps\libtrap.lua	1
100	451	3	24	\script\maps\libtrap.lua	1
100	451	1	25	\script\maps\libtrap.lua	1
100	451	0	26	\script\maps\libtrap.lua	1
100	451	1	26	\script\maps\libtrap.lua	1
100	451	0	27	\script\maps\libtrap.lua	1
100	456	11	16	\script\maps\libtrap.lua	1
100	456	10	17	\script\maps\libtrap.lua	1
100	456	11	17	\script\maps\libtrap.lua	1
100	456	12	17	\script\maps\libtrap.lua	1
100	456	10	18	\script\maps\libtrap.lua	1
100	456	11	18	\script\maps\libtrap.lua	1
100	456	12	18	\script\maps\libtrap.lua	1
100	456	10	19	\script\maps\libtrap.lua	1
100	456	11	19	\script\maps\libtrap.lua	1
100	456	12	19	\script\maps\libtrap.lua	1
100	456	12	20	\script\maps\libtrap.lua	1
100	456	12	21	\script\maps\libtrap.lua	1
